company_id,car_num,activity,deal_num,VAL,abon,LTV
29259,0,880,1,1133,0,1133
29258,0,880,2,6090,0,6090
29237,4,617,2,17392,0,17392
29230,1,236,6,10170,0,10170
29229,1,229,4,5138,0,5138
29228,0,880,1,1847,0,1847
29214,0,880,1,1133,0,1133
29211,0,229,1,1133,0,1133
29206,1,880,2,4348,0,4348
29205,1,229,1,4990,200,5190
29203,0,880,3,16200,0,16200
29201,1,240,2,4348,0,4348
29200,3,229,3,11914,0,11914
29199,1,229,3,4848,479,5327
29197,0,880,1,1133,0,1133
29195,1,880,3,3896,399,4295
29190,1,229,5,8898,200,9098
29188,1,229,5,14458,0,14458
29187,0,229,6,6746,0,6746
29181,1,229,3,3896,0,3896
29175,1,229,2,2848,399,3247
29172,0,229,4,7200,0,7200
29167,1,229,2,2848,399,3247
29166,1,880,5,4480,490,4970
29164,0,229,1,7900,0,7900
29163,3,229,3,14064,0,14064
29159,0,880,1,1700,0,1700
29154,1,229,3,3931,399,4330
29153,3,236,2,4348,0,4348
29152,3,229,3,11688,1197,12885
29147,1,229,2,4348,490,4838
29145,0,229,1,3399,0,3399
29125,1,229,3,3896,0,3896
29118,1,236,5,7658,0,7658
29117,1,229,3,858,490,1348
29116,0,229,5,9350,0,9350
29107,1,229,6,45164,0,45164
29103,1,229,3,22960,0,22960
29101,4,229,3,18352,0,18352
29097,1,229,3,8800,0,8800
29095,3,236,5,16124,0,16124
29093,2,231,4,5138,0,5138
29091,1,229,3,3784,490,4274
29090,1,880,2,4858,0,4858
29087,2,229,2,3530,0,3530
29086,0,229,4,13100,0,13100
29084,2,229,3,9816,0,9816
29078,0,229,6,13061,0,13061
29077,2,229,5,19294,1100,20394
29074,0,232,10,34123,0,34123
29070,1,229,2,3433,399,3832
29068,1,229,2,3358,0,3358
29065,1,230,2,4348,399,4747
29064,1,229,2,3433,490,3923
29060,1,880,4,8108,399,8507
29059,1,230,3,3895,490,4385
29050,1,239,3,9592,0,9592
29049,1,239,3,9592,0,9592
29048,1,233,6,12641,0,12641
29045,4,238,2,7432,900,8332
29043,1,229,3,4348,490,4838
29041,3,239,3,2800,0,2800
29040,3,236,5,31074,0,31074
29031,2,229,3,7792,0,7792
29029,1,880,6,7131,490,7621
29021,1,880,3,3895,399,4294
29018,1,229,3,3896,399,4295
29017,0,880,4,9250,0,9250
29016,2,229,6,16796,798,17594
29015,0,229,4,6950,0,6950
29014,1,233,2,28648,0,28648
29011,1,880,3,4358,399,4757
29009,1,880,3,3896,399,4295
29008,1,236,3,4608,399,5007
29005,0,233,1,17000,0,17000
29003,1,880,2,4348,399,4747
29002,1,231,4,5138,490,5628
28998,1,229,3,3908,0,3908
28997,1,880,1,1470,0,1470
28996,2,239,5,19716,798,20514
28989,2,611,2,8696,0,8696
28985,1,229,2,4408,0,4408
28983,4,229,3,15444,1960,17404
28979,0,229,1,8250,0,8250
28978,0,880,1,26500,0,26500
28970,1,229,2,4348,0,4348
28969,1,229,5,7898,399,8297
28966,1,231,4,5138,490,5628
28965,1,229,3,3927,0,3927
28964,1,229,3,3906,490,4396
28963,1,229,3,3861,0,3861
28957,3,229,3,11688,1470,13158
28955,1,229,3,3895,399,4294
28952,1,229,3,3861,399,4260
28950,1,880,4,2713,490,3203
28947,1,229,3,3424,0,3424
